jenis,nama_lama,nama_baru
TABLE,DIMST_APPLICATIONS,SKMST_APPLICATIONS
TABLE,DIMST_IDENTITASES,SKMST_IDENTITASES
TABLE,DIMST_USERAPPLICATIONS,SKMST_USERAPPLICATIONS
TABLE,DIMST_USERS,SKMST_USERS
TABLE,IMMST_CONTENTS,SKMST_CONTENTS
TABLE,IMMST_PRODUCTCONTENTS,SKMST_PRODUCTCONTENTS
TABLE,LBMST_CLABITEMS,SKMST_CLABITEMS
TABLE,LBMST_CLABS,SKMST_CLABS
TABLE,LBTXN_CHECKUPDTLS,SKTXN_CHECKUPDTLS
TABLE,LBTXN_CHECKUPHDRS,SKTXN_CHECKUPHDRS
TABLE,LBTXN_CHECKUPOBATS,SKTXN_CHECKUPOBATS
TABLE,LBTXN_CHECKUPOUTDTLS,SKTXN_CHECKUPOUTDTLS
TABLE,RSMST_ACCDOCOTHERS,SKMST_ACCDOCOTHERS
TABLE,RSMST_ACCDOCPRODUCTS,SKMST_ACCDOCPRODUCTS
TABLE,RSMST_ACCDOCS,SKMST_ACCDOCS
TABLE,RSMST_ACTEMPS,SKMST_ACTEMPS
TABLE,RSMST_ACTEOTHERS,SKMST_ACTEOTHERS
TABLE,RSMST_ACTEPRODS,SKMST_ACTEPRODS
TABLE,RSMST_ACTPARAMEDICS,SKMST_ACTPARAMEDICS
TABLE,RSMST_ACTPAROTHERS,SKMST_ACTPAROTHERS
TABLE,RSMST_ACTPARPRODUCTS,SKMST_ACTPARPRODUCTS
TABLE,RSMST_DESAS,SKMST_DESAS
TABLE,RSMST_DOCTORS,SKMST_DOCTORS
TABLE,RSMST_EDUCATIONS,SKMST_EDUCATIONS
TABLE,RSMST_ENTRYTYPES,SKMST_ENTRYTYPES
TABLE,RSMST_JOBS,SKMST_JOBS
TABLE,RSMST_KABUPATENS,SKMST_KABUPATENS
TABLE,RSMST_KECAMATANS,SKMST_KECAMATANS
TABLE,RSMST_KLAIMTYPES,SKMST_KLAIMTYPES
TABLE,RSMST_LOINC_CODES,SKMST_LOINC_CODES
TABLE,RSMST_MEDIK,SKMST_MEDIK
TABLE,RSMST_MSTDIAGS,SKMST_MSTDIAGS
TABLE,RSMST_MSTPROCEDURES,SKMST_MSTPROCEDURES
TABLE,RSMST_OTHERS,SKMST_OTHERS
TABLE,RSMST_OUTS,SKMST_OUTS
TABLE,RSMST_PARAMETERS,SKMST_PARAMETERS
TABLE,RSMST_PASIENS,SKMST_PASIENS
TABLE,RSMST_POLIS,SKMST_POLIS
TABLE,RSMST_PROPINSIS,SKMST_PROPINSIS
TABLE,RSMST_RADIOLOGIS,SKMST_RADIOLOGIS
TABLE,RSMST_RELIGIONS,SKMST_RELIGIONS
TABLE,RSMST_SNOMED_CODES,SKMST_SNOMED_CODES
TABLE,RSTXN_RJACCDOCS,SKTXN_RJACCDOCS
TABLE,RSTXN_RJACTEMPS,SKTXN_RJACTEMPS
TABLE,RSTXN_RJACTPARAMS,SKTXN_RJACTPARAMS
TABLE,RSTXN_RJCASHINS,SKTXN_RJCASHINS
TABLE,RSTXN_RJDTLS,SKTXN_RJDTLS
TABLE,RSTXN_RJHDRS,SKTXN_RJHDRS
TABLE,RSTXN_RJLABS,SKTXN_RJLABS
TABLE,RSTXN_RJOBATRACIKANS,SKTXN_RJOBATRACIKANS
TABLE,RSTXN_RJOBATS,SKTXN_RJOBATS
TABLE,RSTXN_RJOTHERS,SKTXN_RJOTHERS
TABLE,RSTXN_RJRADS,SKTXN_RJRADS
TABLE,RSTXN_RJUPLOADBPJSES,SKTXN_RJUPLOADBPJSES
TABLE,RSTXN_SHIFTCTLS,SKTXN_SHIFTCTLS
TABLE,SCMST_SCDAYS,SKMST_SCDAYS
TABLE,SCMST_SCPOLIS,SKMST_SCPOLIS
TABLE,TKACC_ACCOUNTSES,SKACC_ACCOUNTSES
TABLE,TKACC_CARABAYARS,SKACC_CARABAYARS
TABLE,TKACC_CONFACCTXNS,SKACC_CONFACCTXNS
